,speed_by_minute
565,11.0725195453
566,11.0924241138
567,11.1837969118
568,11.1148068595
569,11.1238265866
570,11.0698821612
571,11.09430428
572,11.1762677663
573,11.255886268
574,11.314502517
575,11.3409030197
576,11.3215180467
577,11.3918495793
578,11.3731993405
579,11.3700250598
580,11.5418270059
581,11.6473164284
582,11.7914088941
583,11.7370869455
584,11.8393995243
585,11.7611714398
586,11.820294668
587,11.7620468211
588,11.6084981567
589,11.7757530842
590,11.7905217829
591,11.7569145835
592,11.8086342676
593,11.7971285661
594,11.8938566165
595,11.8371723655
596,11.692881169
597,11.7125069232
598,11.5932014717
599,11.5338357563
600,11.5113210955
601,11.3449278521
602,11.226315074
603,11.1603256534
604,11.2227442696
605,11.2220509908
606,11.2014441349
607,11.0703582153
608,11.032157869
609,11.0546794906
610,11.0549448386
611,11.0396360759
612,11.0848738784
613,11.0119441649
614,10.936925473
615,10.9074123234
616,10.8624831531
617,10.8709403535
618,10.7683204284
619,10.7957472082
620,10.8149916432
621,10.8133614368
622,10.8276875403
623,10.8997897742
624,10.8851347844
625,10.7760608477
626,10.7606520462
627,10.8810126767
628,10.9492441112
629,10.9663475887
630,11.088268942
631,11.0241864527
632,10.9753973678
633,11.0705673944
634,11.0283832591
635,11.0643782287
636,10.9613524106
637,10.9649824865
638,11.073166866
639,11.1540207561
640,11.1609564274
641,11.2421486695
642,11.4341445655
643,11.5477928397
644,11.5326691184
645,11.5448756043
646,11.5949449131
647,11.5835127832
648,11.6377941951
649,11.6436159117
650,11.702881272
651,11.7102029352
652,11.6900991701
653,11.702778515
654,11.6878405097
655,11.8415919058
656,11.8056133412
657,11.833559684
658,11.8461078498
659,11.7888359696
660,11.8208071083
661,11.8228336976
662,11.7700824986
663,11.6128397866
664,11.5554663322
665,11.5293841841
666,11.5998311661
667,11.5475962395
668,11.6399881926
669,11.5416925889
670,11.6230099429
671,11.5660030459
672,11.3293144219
673,11.2233695454
674,11.2925147726
675,11.3180396551
676,11.2244188346
677,11.222752382
678,11.1901143463
679,11.1492563743
680,11.2350891083
681,11.274278799
682,11.3343803593
683,11.3364154964
684,11.3896058254
685,11.2792658462
686,11.3677092652
687,11.304520882
688,11.7816975642
689,11.6806465581
690,11.7650504347
691,11.6578592025
692,11.6445082521
693,11.773762853
694,11.8562482089
695,11.8196722903
696,11.694622234
697,11.7017260868
698,11.7618177708
699,11.8574101146
700,11.837649389
701,11.770934712
702,11.7942504077
703,11.7354922
704,12.1764616938
705,12.2057572452
706,12.2974198969
707,12.290442394
708,12.3942422837
709,11.9845766846
710,12.0392473151
711,11.9409318616
712,11.8903317743
713,11.8859275014
714,11.8349194175
715,11.8084275109
716,11.8316298056
717,11.8844988307
718,11.9135385
719,11.8487645709
720,11.9350893789
721,12.0153361939
722,12.0863290308
723,12.0817026782
724,12.1164243286
725,11.7321619244
726,11.6323267837
727,11.6588388281
728,11.6310774274
729,11.5433070465
730,11.5269113651
731,11.4330581272
732,11.4081765827
733,11.3568161585
734,11.3511229649
735,11.2719640251
736,11.3733333355
737,11.449780193
738,11.4394715767
739,11.418315707
740,11.4419882252
741,11.3112953151
742,11.3110670122
743,11.2466807463
744,11.1813270726
745,11.1184306509
746,11.0782848847
747,11.0160090415
748,10.9223654236
749,10.9715959791
750,11.0774389727
751,11.0783992921
752,11.0857601112
753,11.1119256935
754,11.1649550341
755,11.3218847142
756,11.3855468616
757,11.3445736679
758,11.2149100468
759,11.2641882222
760,11.248959756
761,11.3488722901
762,11.4845968242
763,11.4276125432
764,11.5152409702
765,11.560364114
766,11.6498091264
767,11.6349508402
768,11.7310726586
769,11.8013194606
770,11.77218289
771,11.725022519
772,11.869133014
773,11.9206949766
774,11.9309564943
775,12.0124101816
776,11.8170911632
